entity_id,state,last_changed
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-28T10:44:32.032Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-28T10:44:47.034Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-28T10:45:36.057Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-28T10:45:51.059Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-28T10:46:45.626Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-28T10:47:00.629Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-28T10:48:35.177Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-28T10:48:50.179Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-28T10:53:54.975Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-28T10:54:09.976Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-28T13:22:35.876Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-28T13:22:50.877Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-28T13:23:13.136Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-28T13:23:28.138Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-28T13:37:58.616Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-28T13:38:13.618Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-28T13:43:00.243Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-28T13:43:15.245Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-28T13:48:48.467Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-28T13:49:03.469Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-28T14:04:35.027Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-28T14:04:50.028Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-28T16:07:26.566Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-28T16:07:41.569Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-28T16:09:11.123Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-28T16:09:26.125Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-28T16:50:57.025Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-28T16:51:12.027Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-28T17:00:27.039Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-28T17:00:42.040Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-29T06:20:57.063Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-29T06:21:12.064Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-29T06:30:23.779Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-29T06:30:38.781Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-29T06:30:44.561Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-29T06:30:59.562Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-29T06:45:14.443Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-29T06:45:29.444Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-29T06:47:03.088Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-29T06:47:18.090Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-29T06:57:43.479Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-29T06:57:58.481Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-29T08:06:24.675Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-29T08:06:39.676Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-29T08:06:41.959Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-29T08:06:56.960Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-29T08:15:01.284Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-29T08:15:16.286Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-29T08:16:14.396Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-29T08:16:37.398Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-29T08:16:53.223Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-29T08:17:08.224Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-29T08:20:36.467Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-29T08:20:51.469Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-29T08:22:12.773Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-29T08:22:27.775Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-29T08:22:36.165Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-29T08:22:51.167Z
